Actual,Predicted
130445.071429,
130917.25000100001,
131158.035715,
131228.107143,
131229.0,
131229.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
125291.0,
113737.142857,
5407.25,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
8.696428572,
135.178571429,
507.55357144,
1170.60714287,
2158.46428575,
3519.7678571,
5506.1607143,
7958.1428572,
10890.9642856,
14122.2500002,
17474.0357142,
20520.2857148,
24520.053571,
27738.464284,
31125.053571,
34423.589285,
39014.535714,
42972.017857,
48773.071428,
54845.107143,
60939.857144,
66778.160715,
72595.69643,
77610.928571,
80195.392858,
83619.482143,
87661.267858,
90553.071429,
92964.553572,
98155.375,
102786.910715,
107250.00000100001,
110222.000003,
111452.875,
114100.142857,
116121.125,
117711.714286,
119013.25,
120037.285714,
120895.0,
121695.000002,
122712.375,
123715.428572,
124611.089286,
125412.357143,
126016.339285,
126461.214286,
126814.160716,
127163.428572,
127388.142858,
127455.875,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
127458.0,
115927.125,
1676.2857143,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
7.732142859,
128.124999999,
382.05357144,
693.82142856,
1329.25,
2314.0892858,
3305.5178572,
4519.9642857,
6090.4285715,
9576.9642857,
14099.4107145,
18405.6607143,
22152.4285699,
26333.482142,
30821.982141,
36328.339287,
41710.071427,
46231.571429,
49680.321429,
54073.571429,
59267.607143,
63744.767857,
67092.392857,
70570.5,
74317.232143,
79282.428572,
83867.946429,
89568.017858,
95876.392856,
102338.535714,
108279.642857,
114406.625,
119529.982143,
123298.910714,
127178.267857,
132881.51785899999,
136944.410715,
139962.714286,
142993.714285,
146222.553571,
149845.857142,
153292.553572,
155607.803573,
157759.607143,
159313.589286,
160481.928571,
161135.928571,
161542.517857,
161777.886904,
103026.232142,
103091.535714,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
103099.0,
88402.75,
1063.714286,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
2.321428571,
90.803571428,
344.91071429,
736.01785715,
1350.78571428,
2325.1964286,
3689.9821427,
5333.7321429,
7329.2321429,
9774.1250001,
12194.1071427,
14747.0178572,
17854.8750001,
21131.375,
24392.589286,
27660.571429,
30804.839284,
33939.607144,
37824.482142,
43208.624998,
48780.767857,
53908.339286,
59077.446428,
65868.25,
71864.857143,
77111.321428,
82882.321429,
89147.517856,
95491.482142,
100963.785715,
106477.714286,
109848.666666,
22406.0,
123811.25,
129244.571428,
134089.25,
140255.678572,
146497.339286,
151284.589285,
154652.160714,
157548.535714,
160187.571429,
161781.357141,
163435.196429,
166343.321428,
168511.178571,
169762.44643,
170633.732142,
171154.714283,
171421.339287,
171548.035713,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
171562.0,
